GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
handistCollections,handist.collections.glb,CustomOneSidedMoveManager,3,160,0,6,1,40,1,9,1,6
handistCollections,handist.collections.glb,Config.LifelineAnswerMode,0,24,0,0,0,2,0,1,0,1
handistCollections,handist.collections.glb,GlbOperation.State,0,34,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,DistColGlb,30,306,0,8,6,66,0,18,0,14
handistCollections,handist.collections.glb,TimeoutBlocker,10,60,3,7,4,14,4,7,1,5
handistCollections,handist.collections.glb,GlbOperation,25,268,5,19,8,64,5,22,0,15
handistCollections,handist.collections.glb,GlbComputer.WorkReserve,0,106,0,8,0,24,0,7,0,3
handistCollections,handist.collections.glb,DistColGlbTask,16,537,1,33,8,117,1,28,0,12
handistCollections,handist.collections.glb,DistMapGlb,2,6,0,0,1,3,1,1,1,1
handistCollections,handist.collections.glb,DistColGlb.DistColGlbError,0,31,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,GlbComputer,192,648,14,58,24,147,14,40,0,18
handistCollections,handist.collections.glb,GlbComputer.LifelineToken,17,9,0,0,1,4,1,1,1,1
handistCollections,handist.collections.glb,GlbComputer.WorkerInfo,30,72,0,0,8,18,2,7,2,7
handistCollections,handist.collections.glb,GlbOperation.OperationCompletionManagedBlocker,1,24,1,1,1,11,1,4,0,4
handistCollections,handist.collections.glb,OperationBlocker,10,39,1,1,1,13,1,5,0,5
handistCollections,handist.collections.glb,DistFuture,0,37,1,3,0,13,1,6,0,5
handistCollections,handist.collections.glb,AbstractGlbHandle,0,14,0,2,0,5,0,3,0,2
handistCollections,handist.collections.glb,DistColGlbTask.DistColAssignment,37,341,2,28,7,65,3,20,1,7
handistCollections,handist.collections.glb,GlobalLoadBalancer,8,124,1,11,3,44,1,15,0,10
handistCollections,handist.collections.glb,Config,3,37,0,6,1,11,1,7,1,4
handistCollections,handist.collections.dist.util,ObjectOutput,77,70,8,4,16,23,10,5,4,5
handistCollections,handist.collections.dist.util,Pair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,IntFloatPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,MemberOfLazyObjectReference,0,17,0,0,0,5,0,2,0,2
handistCollections,handist.collections.dist.util,ObjectInput,68,67,8,4,11,20,8,5,2,5
handistCollections,handist.collections.dist.util,IntLongPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,LazyObjectReference,6,34,0,2,2,12,0,3,0,2
handistCollections,handist.collections,Bag,15,545,1,49,6,137,3,53,2,29
handistCollections,handist.collections,Chunk.It,0,131,0,8,0,23,0,13,0,9
handistCollections,handist.collections,FutureN.ListResults,67,0,4,0,19,0,6,0,4,0
handistCollections,handist.collections,Bag.It,0,65,0,10,0,17,0,8,0,3
handistCollections,handist.collections,Bag.new Consumer() {...},0,15,0,0,0,3,0,2,0,2
handistCollections,handist.collections,RangedListView.It,0,61,0,2,0,13,0,5,0,4
handistCollections,handist.collections,ChunkedList.It,0,83,0,10,0,26,0,8,0,3
handistCollections,handist.collections,FutureN.ReturnGivenResult,7,12,0,0,2,5,1,2,1,2
handistCollections,handist.collections,ParallelExecutionException,64,9,4,0,19,4,8,1,6,1
handistCollections,handist.collections,RangedList,138,270,19,21,27,47,20,21,9,12
handistCollections,handist.collections,FutureN.OnlyWait,14,0,0,0,6,0,3,0,3,0
handistCollections,handist.collections,LongRange,75,493,8,66,26,84,8,50,4,17
handistCollections,handist.collections,Chunk,34,652,3,49,7,115,6,55,3,32
handistCollections,handist.collections,LongRange.It,0,30,0,2,0,5,0,4,0,3
handistCollections,handist.collections,ChunkedList.new Consumer() {...},0,15,0,0,0,3,0,2,0,2
handistCollections,handist.collections,ChunkedList,128,1132,19,97,33,260,24,108,9,65
handistCollections,handist.collections,RangedListView,86,297,11,17,15,67,12,28,4,22
handistCollections,handist.collections,ElementOverlapException,0,4,0,0,0,2,0,1,0,1
handistCollections,handist.collections,FutureN.ConsumeResults,65,0,4,0,22,0,6,0,4,0
handistCollections,handist.collections,FutureN,132,38,15,3,33,12,12,3,4,2
handistCollections,handist.collections.function,LongTBiConsumer,6,0,0,0,1,0,1,0,1,0
handistCollections,handist.collections.function,LongTBiConsumer.new LongTBiConsumer() {...},19,0,0,0,4,0,2,0,2,0
handistCollections,handist.collections.dist,CachableArray,155,96,4,4,35,24,26,9,24,7
