GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
handistCollections,handist.collections.glb,CustomOneSidedMoveManager,3,160,0,6,1,40,1,9,1,6
handistCollections,handist.collections.glb,Config.LifelineAnswerMode,0,24,0,0,0,2,0,1,0,1
handistCollections,handist.collections.glb,GlbOperation.State,0,34,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,DistColGlb,71,504,1,15,11,107,1,31,0,24
handistCollections,handist.collections.glb,TimeoutBlocker,8,62,2,8,3,15,3,8,1,5
handistCollections,handist.collections.glb,GlbOperation,25,291,5,19,8,69,5,25,0,18
handistCollections,handist.collections.glb,GlbComputer.WorkReserve,7,104,0,8,3,23,1,7,1,3
handistCollections,handist.collections.glb,DistColGlbTask,16,596,2,32,8,128,2,27,0,12
handistCollections,handist.collections.glb,Assignment,6,0,0,0,1,0,1,0,1,0
handistCollections,handist.collections.glb,DistColGlbTask.Progress,0,6,0,0,0,3,0,1,0,1
handistCollections,handist.collections.glb,DistMapGlb,2,6,0,0,1,3,1,1,1,1
handistCollections,handist.collections.glb,DistColGlb.DistColGlbError,0,31,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,GlbComputer,190,697,12,54,25,152,12,41,0,20
handistCollections,handist.collections.glb,GlbComputer.LifelineToken,17,9,0,0,1,4,1,1,1,1
handistCollections,handist.collections.glb,GlbComputer.WorkerInfo,0,50,0,0,0,12,0,5,0,5
handistCollections,handist.collections.glb,GlbOperation.OperationCompletionManagedBlocker,1,24,1,1,1,11,1,4,0,4
handistCollections,handist.collections.glb,OperationBlocker,10,39,1,1,1,13,1,5,0,5
handistCollections,handist.collections.glb,DistFuture,0,57,1,5,0,18,1,9,0,7
handistCollections,handist.collections.glb,AbstractGlbHandle,4,14,0,2,2,5,1,3,1,2
handistCollections,handist.collections.glb,DistColGlbTask.DistColAssignment,23,310,4,20,5,62,6,15,2,7
handistCollections,handist.collections.glb,GlobalLoadBalancer,20,151,1,11,9,52,4,16,3,11
handistCollections,handist.collections.glb,Config,44,41,0,6,6,12,2,8,2,5
handistCollections,handist.collections.dist.util,ObjectOutput,8,109,1,1,3,34,2,11,1,11
handistCollections,handist.collections.dist.util,Pair,34,15,6,0,5,6,5,3,2,3
handistCollections,handist.collections.dist.util,IntFloatPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,MemberOfLazyObjectReference,0,17,0,0,0,5,0,2,0,2
handistCollections,handist.collections.dist.util,ObjectInput,13,61,1,1,4,19,3,8,2,8
handistCollections,handist.collections.dist.util,IntLongPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,LazyObjectReference,6,34,0,2,2,12,0,3,0,2
handistCollections,handist.collections,Bag,56,1394,0,130,32,325,0,122,0,57
handistCollections,handist.collections,SquareChunk.MyView,40,3,0,0,8,1,8,1,8,1
handistCollections,handist.collections,RangedMap,47,301,4,18,11,54,8,25,5,17
handistCollections,handist.collections,SquareChunk,106,1099,9,57,20,203,14,68,6,43
handistCollections,handist.collections,SquareRange,156,474,37,43,29,75,32,38,6,24
handistCollections,handist.collections,ColumnIterator,47,54,1,3,15,11,3,4,2,3
handistCollections,handist.collections,RangedList.Box,0,6,0,0,0,3,0,1,0,1
handistCollections,handist.collections,ChunkedList.LongRangeOrdering,0,22,0,2,0,3,0,3,0,2
handistCollections,handist.collections,LazyRangedList,69,38,0,0,12,7,12,4,12,4
handistCollections,handist.collections,FutureN.ListResults,67,0,4,0,19,0,6,0,4,0
handistCollections,handist.collections,ChunkListIterator,63,172,2,10,10,35,4,15,2,11
handistCollections,handist.collections,FilteredRangedListProduct,362,0,20,0,88,0,48,0,38,0
handistCollections,handist.collections,SquareChunk.MySquareSiblingAccessor,39,25,13,1,3,8,8,3,1,3
handistCollections,handist.collections,Bag.It,0,65,0,10,0,17,0,8,0,3
handistCollections,handist.collections,SquareChunk.RowView,88,153,0,8,11,29,5,11,5,7
handistCollections,handist.collections,SimpleRangedListProduct,366,193,5,5,69,37,39,21,36,19
handistCollections,handist.collections,Bag.new Consumer() {...},0,15,0,0,0,3,0,2,0,2
handistCollections,handist.collections,ParallelMap,38,344,5,31,11,85,11,39,7,25
handistCollections,handist.collections,ChunkedList.It,0,83,0,10,0,26,0,8,0,3
handistCollections,handist.collections,ChunkedList.UnmodifiableView,427,0,0,0,96,0,76,0,76,0
handistCollections,handist.collections,FutureN.ReturnGivenResult,7,12,0,0,2,5,1,2,1,2
